name,description,color,lat,lon,img,link,bastina
"Gavrilović d. o. o.","Prehrambeno poduzeće osnovano 1821. u Petrinji.",blue,45.44196872498993,16.29139345448619,https://tehnika.lzmk.hr/wp-content/uploads/2020/09/HTE2_0893.jpg,https://tehnika.lzmk.hr/gavrilovic-d-o-o/,Poduzeća
"Grafički fakultet","Visokoškolska i znanstvenoistraživačka ustanova Sveučilišta u Zagrebu.",blue,45.80585633222477,16.029696671188237,https://tehnika.lzmk.hr/wp-content/uploads/2021/10/HTE2_2335.jpg,https://tehnika.lzmk.hr/graficki-fakultet-u-zagrebu/,Ustanove
"Hrvatska akademija znanosti i umjetnosti","Najviša kulturna i znanstvena ustanova u RH, kojoj je cilj poticanje, organiziranje i promicanje znanstvenog i umjetničkoga rada, osnovana 1861. u Zagrebu.",blue,45.80912943696045,15.978559840093187,https://tehnika.lzmk.hr/wp-content/uploads/2019/07/zg_0756.jpg,https://tehnika.lzmk.hr/hrvatska-akademija-znanosti-i-umjetnosti/,Ustanove
"Hrvatski geološki institut","Institut u području geoznanosti i geološkog inženjerstva u RH sa sjedištem u Zagrebu.",blue,45.795587121924235,16.008440513874657,https://tehnika.lzmk.hr/wp-content/uploads/2021/10/HTE2_2415.jpg,https://tehnika.lzmk.hr/hrvatski-geoloski-institut/,Ustanove
"Hrvatski hidrografski institut","Javna ustanova za obavljanje hidrografske djelatnosti od interesa za RH, koja od 1929. djeluje u Splitu.",blue,43.52233074789719,16.431999168528375,https://tehnika.lzmk.hr/wp-content/uploads/2018/04/HTE_0986.jpg,https://tehnika.lzmk.hr/hrvatski-hidrografski-institut/,Ustanove
"Hrvatski pomorski muzej Split","Specijalizirani muzej koji se bavi istraživanjem, prikupljanjem, čuvanjem i prezentacijom pomorske baštine hrvatske obale Jadrana osnovan 1997. u Splitu, a sljednik je tradicije splitske pomorske muzeologije od 1925.",blue,43.50864745128436,16.44771613895599,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1247.jpg,https://tehnika.lzmk.hr/hrvatski-pomorski-muzej-split/,Muzeji
"Hrvatski šumarski institut","Javna znanstvena institucija za znanstvena, razvojna i visokostručna istraživanja iz znanstvenog područja biotehničkih znanosti, znanstvenog polja šumarstva, sa sjedištem u Jastrebarskom.",blue,45.66887737712144,15.643917759290416,https://tehnika.lzmk.hr/wp-content/uploads/2021/03/HTE2_1831.jpg,https://tehnika.lzmk.hr/hrvatski-sumarski-institut/,Ustanove
"Hrvatski željeznički muzej","Specijalizirani tehnički muzej državnoga djelokruga koji se bavi prikupljanjem, čuvanjem, zaštitom, obnovom i prezentacijom željezničkih vozila, strojeva, uređaja, arhivskog i drugoga gradiva, vezanih uz nastanak i razvoj željeznice u Hrvatskoj, osnovan u Zagrebu 1991.",blue,45.80088664471089,15.984330907387566,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1217.jpg,https://tehnika.lzmk.hr/hrvatski-zeljeznicki-muzej/,Muzeji
"HT muzej","Specijalizirani muzej pošte i telekomunikacija, osnovan 1953. pod nazivom PTT muzej u sastavu poduzeća PTT Zagreb (HP − Hrvatska pošta), sa sjedištem u Zagrebu.",blue,45.8125035815471,15.981225530647919,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/zg_1087.jpg,https://tehnika.lzmk.hr/ht-muzej/,Muzeji
"Iločki podrumi d. d.","Poduzeće za uzgoj vinove loze i proizvodnju vina osnovano u Iloku, s tradicijom iz 1450.",blue,45.224808791441,19.360763146205958,https://tehnika.lzmk.hr/wp-content/uploads/2021/09/HTE2_2260.jpg,https://tehnika.lzmk.hr/ilocki-podrumi-ilok/,Poduzeća
