name,description,color,lat,lon,img,link,bastina,podbastina
Škola primijenjene umjetnosti i dizajna,"Umjetnička srednja škola osnovana 1882. u Zagrebu, jedna od najstarijih srednjih škola u Hrvatskoj.",blue,45.809641365850766,15.968665780439734,https://turing.lzmk.hr/tehnika/wp-content/uploads/2022/03/HTE2_2960.jpg,https://turing.lzmk.hr/tehnika/skola-primijenjene-umjetnosti-i-dizajna/,Ustanove,škole
JGL Muzej farmacije,Specijalizirani povijesni muzej hrvatske i svjetske povijesti farmacije.,blue,45.32654695880041,14.44499688422566,https://turing.lzmk.hr/tehnika/wp-content/uploads/2021/09/HTE2_2317.jpg,https://turing.lzmk.hr/tehnika/jgl-muzej-farmacije/,Muzeji,Specijalizirani – povijesni
Krčki most,"Most koji spaja otok Krk s hrvatskom obalom; izgrađen 1980. Svojedobno most s najvećim armirano betonskim lukom na svijet, od kopna do otočića Sveti Marko, raspona 390 m.",blue,45.24663287504568,14.569018639493365,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/01/HTE3_0029.jpg,https://turing.lzmk.hr/tehnika/krcki-most/,Objekti,Mostovi
Amfiteatar u Puli,"Jedan od najvećih i najbolje očuvanih rimskih amfiteatara u svijetu; vanjskih je izmjera 132,5 m × 105,1 m, a mogao je primiti 25 000 gledatelja. Njegova je gradnja potrajala cijelo I. st.",blue,44.87320301239875,13.850234599987694,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/HTE3_0125.jpg,https://turing.lzmk.hr/tehnika/amfiteatar-u-puli/,Objekti,Sportska arhitektura
Kupalište Angiolina,Prvo javno kupalište s kupališnom zgradom u Opatiji.,blue,45.33505138243206,14.308524299439075,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/08/HTE3_0175.jpg,https://turing.lzmk.hr/tehnika/kupaliste-angiolina/,Objekti,Sportska arhitektura
Sportsko-rekreacijski centar Šalata,Jedan od prvih suvremenih sportsko-rekreacijskih centara u Hrvatskoj.,blue,45.81582264982657,15.984668660418773,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/02/HTE3_0022.jpg,https://turing.lzmk.hr/tehnika/sportski-centar-salata/,Objekti,
Maksimirski stadion,"Središnji zagrebački nogometni stadion, jedno od najznačajnijih djela sportske arhitekture svoga doba. Pokraj ulaza u Maksimirski perivoj izgrađen je 1912. stadion HAŠK-a, na čijem je mjestu 1953–55. izgrađen novi stadion (projektanti: V. Turina, F. Neidhardt, E. Erlich). Istočna tribina dograđena je 1961 (isti autori uz B. Magaša), južna 1965–69 (B. Tušek), stadion je adaptiran 1987., a 1997. započela je njegova temeljita rekonstrukcija (B. Kincl, N. Filipović).",blue,45.818875055795566,16.018060371272945,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/09/HTE3_0214.jpg,https://turing.lzmk.hr/tehnika/maksimirski-stadion/,Objekti,
Zimsko plivalište Mladost,"Jedna od prvih suvremenih zatvorenih sportsko-rekreacijskih građevina u Hrvatskoj i dugo vremena jedini zagrebački bazen u zatvorenom. Izgrađeno je 1958 (F. Bahovec, B. Tušek, V. Antolić).",blue,45.80640633131127,15.951776584659438,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/02/HTE3_0021.jpg,https://turing.lzmk.hr/tehnika/zimsko-plivaliste-mladost/,Objekti,
Športski centar Bazeni Poljud,"Kompleks sportskih sadržaja u Splitu, od kojih je središnji zatvoreno plivalište inovativne viseće konstrukcije. Izgrađen je 1979. (I. Antić)",blue,43.521875659895684,16.431358842754843,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/08/HTE3_0181.jpg,https://turing.lzmk.hr/tehnika/sportski-centar-bazeni-poljud/,Objekti,Sportska arhitektura
Gradski stadion Poljud,"Nogometni i atletski stadion u Splitu; djelo je vrhunske svjetske sportske arhitekture, s rekordnim rasponom prostorne rešetkaste konstrukcije Mero. Izgrađen je 1979 (projektant: B. Magaš).",blue,43.520188609413864,16.43177086931151,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/08/HTE3_0181.jpg,https://turing.lzmk.hr/tehnika/gradski-stadion-poljud/,Objekti,Sportska arhitektura
Dvorana Krešimira Ćosića,Središnja građevina Sportskoga centra Višnjik u Zadru.,blue,44.11924626201712,15.245004925055849,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/08/HTE3_0171.jpg,https://turing.lzmk.hr/tehnika/dvorana-kresimira-cosica/,Objekti,Sportska arhitektura
Arena Zagreb,"Najveća sportska dvorana u Hrvatskoj; može primiti 15 000–24 000 gledatelja, a natkrivena je inovativnom visećom konstrukcijom raspona 110 m. Izgrađena je 2008 (projektant: UPI-2M).",blue,45.771279601676596,15.943615815553683,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/08/HTE3_0178.jpg,https://turing.lzmk.hr/tehnika/arena-zagreb/,Objekti,Sportska arhitektura
Višenamjenska dvorana Žatika,Sportska dvorana u Poreču.,blue,45.22492970435891,13.607944400000001,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/08/HTE3_0185.jpg,https://turing.lzmk.hr/tehnika/visenamjenska-dvorana-zatika/,Objekti,Sportska arhitektura
Sveučilišni računski centar – SRCE,"Zgrada namjenski izgrađena za sjedište središnje informatičke i računalne ustanove hrvatske akademske i istraživačke zajednice u Trnju u Zagrebu oblikovno se većim dijelom oslanja na tradiciju internacionalnoga stila u arhitekturi. 
Izgrađen je 1972 (projektant: A. Dragomanović).",blue,45.792300,15.969636,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/07/LL_1598.jpg,https://turing.lzmk.hr/tehnika/sveucilisni-racunski-centar-srce/,Objekti,Poslovne zgrade
Poslovno-stambena zgrada Herzog u Zagrebu,"Jedan od najvažnijih primjera zagrebačke moderne, smještena u ulici Pod zidom tik do glavnoga gradskog trga. Građena je 1928–31 (Projektanti: I. Fischer, Z. Dumengjić).",blue,45.813663699158084,15.977364489431002,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/09/HTE3_0195.jpg,https://turing.lzmk.hr/tehnika/poslovno-stambena-zgrada-herzog-u-zagrebu/,Objekti,
"Novigrad, Fortica","Tvrđava na uzvisini iznad grada u Zadarskoj županiji. Nastala je kao liburnska ilirska gradina, u  XIII. st. bila je u posjedu ličko-krbavskih velikaša Gusića i Kurjakovića, koji su je preuredili kako bi zaštitili svoje imanje, a 1409. dolazi u posjed Mletačke republike, kada je pretvorena u kaštel.",blue,44.182738775416674,15.549786231419754,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/EUH_0369.jpg,https://turing.lzmk.hr/tehnika/novigrad-dalmatinski-tvrdava-fortica/,Objekti,Fortifikacijsko graditeljstvo
Nedinum,Ostatci ilirsko-rimskog naselja na vrhu brežuljka u blizini mjesta Nadin.,blue,44.07390890591728,15.498047564364231,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/HTE3_0121.jpg,https://turing.lzmk.hr/tehnika/nadin-nedinum/,Objekti,Fortifikacijsko graditeljstvo
Tvrđava Starigrad (Fortica),Ruševine utvrde na zapadnom vrhu omiške Dinare koji dominira Omišem i ušćem Cetine.,blue,43.44491046965452,16.699986177281502,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0524.jpg,https://turing.lzmk.hr/tehnika/omis-tvrdava-starigrad-fortica/,Objekti,Fortifikacijsko graditeljstvo
Bribirska glavica,Arheološko nalazište s ostatcima naselja u Bribiru kraj Skradina.,blue,43.92683601759577,15.845954620337178,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0064.jpg,https://turing.lzmk.hr/tehnika/bribir-varvaria/,Objekti,Fortifikacijsko graditeljstvo
"Ozalj, stari grad","Srednjovjekovna utvrda na stijeni nad rijekom Kupom, koja se spominje od XIII. st.",blue,45.61438258318942,15.470818893113826,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/08/HTE3_0177.jpg,https://turing.lzmk.hr/tehnika/ozalj-stari-grad/,Objekti,Fortifikacijsko graditeljstvo
Ružica grad,Ruševine srednjovjekovnoga grada iz XIII. st. smještene na brijegu zapadno od Orahovice.,blue,45.51659867110401,17.88591991436813,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_1445.jpg,https://turing.lzmk.hr/tehnika/ruzica-grad-velika-utvrda-orahovica/,Objekti,Fortifikacijsko graditeljstvo
Nezakcij (Vizače),"Arheološko nalazište na brežuljku Glavica kraj Valture, jedno od najvažnijih arheoloških nalazišta u Istri.",blue,44.91699311957944,13.9691819966679,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/HTE3_0122.jpg,https://turing.lzmk.hr/tehnika/vizace-nezakcium/,Objekti,Fortifikacijsko graditeljstvo
Zrin,Ruševine utvrđenog grada na južnim padinama Zrinske gore.,blue,45.19780784601016,16.36930977562934,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0685.jpg,https://turing.lzmk.hr/tehnika/zrin/,Objekti,Fortifikacijsko graditeljstvo
Dvigrad,Ruševine srednjovjekovnoga grada u Limskoj dragi kraj Kanfanara.,blue,45.1382983898937,15.731882622169865,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/HTE3_0078.jpg,https://turing.lzmk.hr/tehnika/dvigrad/,Objekti,Fortifikacijsko graditeljstvo
"Vrana, stari grad",Ruševine srednjovjekovnog utvrđenog grada hrvatskih vladara iznad Vranskog jezera.,blue,43.95587718648208,15.549607854936994,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0641.jpg,https://turing.lzmk.hr/tehnika/vrana-stari-grad/,Objekti,Fortifikacijsko graditeljstvo
Stonske zidine,Fortifikacijski sustav između Stona i Malog Stona.,blue,42.840440268449214,17.69563794028138,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0332.jpg,https://turing.lzmk.hr/tehnika/ston-zidine/,Objekti,Fortifikacijsko graditeljstvo
Nehaj,Vojna utvrda u gradu Senju. Sagrađena je 1558. godina na brdu Trbušnjak pod nadzorom Ivana Lenkovića te Herbarda VIII. Auersperga.,blue,44.986633136340764,14.903482421929569,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0361.jpg,https://turing.lzmk.hr/tehnika/nehaj/,Objekti,Fortifikacijsko graditeljstvo
Monkodonja,"Ostatci brončanodobne gradine smještene na eliptičnom brežuljku istočno od Rovinja, koja se ističe bedemima izgrađenima u tehnici suhozida.",blue,45.071503241394346,13.696092909647502,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/HTE3_0106.jpg,https://turing.lzmk.hr/tehnika/monkodonja/,Objekti,Fortifikacijsko graditeljstvo
"Sisak, stari grad",Tvrđava na jugoistočnom rubu grada Siska izgrađena 1544–50. radi obrane pokupskih posjeda zagrebačkog Kaptola.,blue,45.47073665277173,16.385815597355503,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0489.jpg,https://turing.lzmk.hr/tehnika/sisak-stari-grad/,Objekti,Fortifikacijsko graditeljstvo
Šibenske utvrde,Niz povijesnih fortifikacijskih građevina koje su branile grad kao strateški važno vojno uporište i luku s mora i kopna.,blue,43.737910262786954,15.88887402938922,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0565.jpg,https://turing.lzmk.hr/tehnika/sibenik-sveti-nikola/,Objekti,Fortifikacijsko graditeljstvo
Veliki Tabor,Utvrda na sjeverozapadu Hrvatske u mjestu Hum Košnički.,blue,46.15473397547184,15.65141855317434,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_1480.jpg,https://turing.lzmk.hr/tehnika/veliki-tabor/,Objekti,Fortifikacijsko graditeljstvo
Dioklecijanova palača,"Carska rezidencija u Splitu, koju je oko 300. podignuo rimski car Dioklecijan.",blue,43.50828205443241,16.440170106811127,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/Dioklecijan.jpg,https://turing.lzmk.hr/tehnika/dioklecijanova-palaca/,Objekti,Fortifikacijsko graditeljstvo
"Brijuni, bizantski kastrum","arheološko nalazište u uvali Dobrika na Velikom Brijunu, s ostatcima utvrđenog naselja koji svjedoče o kontinuitetu života od IV/V. do XIV. st.",blue,44.909911398960396,13.755827716702592,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/HTE3_0112.jpg,https://turing.lzmk.hr/tehnika/bizantski-kastrum-brijuni/,Objekti,Fortifikacijsko graditeljstvo
Dubrovačke zidine,Snažan fortifikacijski sustav koji okružuje grad Dubrovnik.,blue,42.641823177920124,18.10719490872481,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/HTE3_0116.jpg,https://turing.lzmk.hr/tehnika/dubrovacke-gradske-zidine-i-utvrde/,Objekti,Fortifikacijsko graditeljstvo
Burnum,Ostatci rimskog vojnog logora na području Ivoševaca kraj Knina. ,blue,44.01810962648687,16.025810634657766,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/HTE3_0114.jpg,https://turing.lzmk.hr/tehnika/burnum-ivosevci/,Objekti,Fortifikacijsko graditeljstvo
"Cetin, stari grad",Ruševine srednjovjekovne tvrđave južno od Cetingrada.,blue,45.13856290490117,15.732834236691378,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0084.jpg,https://turing.lzmk.hr/tehnika/grad-cetin-cetingrad/,Objekti,Fortifikacijsko graditeljstvo
Garić grad,Ruševine jednog od najstarijih i najvećih srednjovjekovnih utvrđenih gradova u sjevernoj Hrvatskoj.,blue,45.63225452610567,16.756449217441848,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0126.jpg,https://turing.lzmk.hr/tehnika/garic-grad/,Objekti,Fortifikacijsko graditeljstvo
"Ilok, utvrda",Velika srednjovjekovna fortifikacijska struktura koju je u XV. st. dao izgraditi Nikola Iločki kao sjedište obitelji.,blue,45.22416144544879,19.37456439668588,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0173.jpg,https://turing.lzmk.hr/tehnika/ilocka-utvrda/,Objekti,Fortifikacijsko graditeljstvo
Veliki Kalnik,Ruševine utvrde na istočnom dijelu gore Kalnik.,blue,46.13462356609992,16.46396755938503,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0616.jpg,https://turing.lzmk.hr/tehnika/veliki-kalnik-stari-grad/,Objekti,Fortifikacijsko graditeljstvo
"Vrboska, crkva-tvrđava","Crkva sv. Marije od milosrđa podignuta u 15. st., utvrđena nakon osmanske pljačke grada 1571. Spada među najljepše primjere crkvi-tvrđava u Hrvatskoj.",blue,43.18083981667975,16.671721237714774,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0646.jpg,https://turing.lzmk.hr/tehnika/vrboska-crkva-tvrdava/,Objekti,Fortifikacijsko graditeljstvo
"Klis, tvrđava",Srednjovjekovna utvrda na goloj hridi koja je nadzirala prijevoj preko kojega je od antike išao put između Splita i unutrašnjosti. Izgrađena je kao sjedište hrvatskih vladara u IX. st.,blue,43.56036371602138,16.520301018673834,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0234.jpg,https://turing.lzmk.hr/tehnika/klis/,Objekti,Fortifikacijsko graditeljstvo
Ključica,Najveća srednjovjekovna utvrda na području Drniša.,blue,43.83131034422544,16.031214678875244,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0240.jpg,https://turing.lzmk.hr/tehnika/tvrdava-kljucica/,Objekti,Fortifikacijsko graditeljstvo
"Osijek, Tvrđa","Fortifikacijski sustav s nizom vojnih, civilnih i crkvenih zgrada, nastao u XVIII. st. gradnjom modernizirane tvrđave s bastionima.",blue,45.55930154390576,18.697813482027268,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/EUH_1286.jpg,https://turing.lzmk.hr/tehnika/osijek-utvrdenja/,Objekti,Fortifikacijsko graditeljstvo
Kninska tvrđava,"Jedna od najvećih srednjovjekovnih utvrda u Dalmaciji, smještena na vršnom dijelu brda Spas.",blue,44.03438722960989,16.193434167780673,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0248.jpg,https://turing.lzmk.hr/tehnika/kninska-tvrdava/,Objekti,Fortifikacijsko graditeljstvo
Medvedgrad,"Jedna od najvećih hrvatskih plemićkih srednjovjekovnih utvrda, izgrađena u XIII. st. na južnim obroncima Medvednice.",blue,45.869553438937594,15.94073175439622,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0346.jpg,https://turing.lzmk.hr/tehnika/medvedgrad/,Objekti,Fortifikacijsko graditeljstvo
"Modruš, grad Tržan","Ruševine srednjovjekovne utvrde na brežuljku iznad utvrđenog grada, u kojoj je od XIV. st. bilo obiteljsko sjedište Frankapana.",blue,45.14922993757454,15.246577098534418,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0352.jpg,https://turing.lzmk.hr/tehnika/trzan-grad-modrus/,Objekti,Fortifikacijsko graditeljstvo
"Varaždin, Stari grad",Srednjovjekovna utvrda u sjeverozapadnom dijelu povijesne jezgre Varaždina.,blue,46.31050171246686,16.33431551534288,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/HTE3_0072.jpg,https://turing.lzmk.hr/tehnika/varazdin-stari-grad/,Objekti,Fortifikacijsko graditeljstvo
"Dubovac, stari grad",Srednjovjekovna utvrda iz XIII st. u sjeverozapadnom dijelu Karlovca.,blue,45.49577510830189,15.528031015340563,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/05/EUH_0114.jpg,https://turing.lzmk.hr/tehnika/dubovac-stari-grad/,Objekti,Fortifikacijsko graditeljstvo
Gradske zidine Zadar,"Fortifikacijski sustav središta grada izgrađen u XII. i XIII. st., kojega je Mletačka Republika dodatno ojačala i pretvorila u bastionski sustav u XVI. st.",blue,44.112160733119126,15.228479462978564,https://turing.lzmk.hr/tehnika/wp-content/uploads/2023/06/HTE3_0131.jpg,https://turing.lzmk.hr/tehnika/gradske-zidine-zadar/,Objekti,Fortifikacijsko graditeljstvo
Zagrepčanka,"Poslovni neboder sagrađen 1969–1976. na križanju Savske ceste i Vukovarske ulice. Sa 30 katova, odn. 95 m visine neko je vrijeme bio najviša zgrada u Zagrebu.",blue,45.798408463981254,15.962405420307844,,https://turing.lzmk.hr/tehnika/zagrepcanka/,Objekti,Betonske konstrukcije
